,code,name,market,sector,date,start_price,closing_price,high_price,low_price,MA25,volume
2507,6571,キュービーネットホールディングス,東証１,サービス業,2020年5月09日,"2,005","2,021","2,056","1,989",20.82,420
2508,6572,ＲＰＡホールディングス,東証１,サービス業,2020年5月09日,815,820,827,780,21.25,572
2516,6584,三櫻工業,東証１,輸送用機器,2020年5月09日,681,692,692,670,1.99,197
2517,6586,マキタ,東証１,機械,2020年5月09日,"3,405","3,385","3,420","3,370",1.68,2036
2518,6588,東芝テック,東証１,電気機器,2020年5月09日,"3,540","3,520","3,545","3,470",3.22,180
2519,6590,芝浦メカトロニクス,東証１,電気機器,2020年5月09日,"2,782","2,829","2,829","2,773",14.94,56
2520,6592,マブチモーター,東証１,電気機器,2020年5月09日,"3,275","3,280","3,290","3,225",3.16,616
2521,6594,日本電産,東証１,電気機器,2020年5月09日,"6,220","6,169","6,250","6,128",9.65,9653
2523,6615,ユー・エム・シー・エレクトロニクス,東証１,電気機器,2020年5月09日,275,282,282,263,24.65,61
2524,6616,トレックス・セミコンダクター,東証１,電気機器,2020年5月09日,"1,060","1,060","1,076","1,046",4.47,10
2525,6617,東光高岳,東証１,電気機器,2020年5月09日,908,922,922,899,2.35,21
2527,6619,ダブル・スコープ,東証１,電気機器,2020年5月09日,362,371,372,348,13.41,873
2528,6620,宮越ホールディングス,東証１,電気機器,2020年5月09日,576,571,580,559,6.38,26
2529,6622,ダイヘン,東証１,電気機器,2020年5月09日,"3,055","3,075","3,080","3,040",6.25,93
2536,6630,ヤーマン,東証１,電気機器,2020年5月09日,703,696,706,687,1.41,114
2537,6632,ＪＶＣケンウッド,東証１,電気機器,2020年5月09日,160,167,168,159,-4.22,316
2542,6638,ミマキエンジニアリング,東証１,電気機器,2020年5月09日,406,409,411,400,2.44,9
2544,6640,第一精工,東証１,電気機器,2020年5月09日,"2,154","2,202","2,217","2,117",5.65,356
2545,6641,日新電機,東証１,電気機器,2020年5月09日,"1,090","1,083","1,093","1,052",14.9,341
2547,6644,大崎電気工業,東証１,電気機器,2020年5月09日,506,518,518,505,3.01,41
2548,6645,オムロン,東証１,電気機器,2020年5月09日,"6,690","6,700","6,710","6,590",13.41,9881
2551,6651,日東工業,東証１,電気機器,2020年5月09日,"1,766","1,807","1,807","1,766",3.1,57
2552,6652,ＩＤＥＣ,東証１,電気機器,2020年5月09日,"1,592","1,635","1,645","1,592",14.55,130
2553,6653,正興電機製作所,東証１,電気機器,2020年5月09日,895,895,909,883,-4.39,37
2554,6654,不二電機工業,東証１,電気機器,2020年5月09日,"1,250","1,247","1,250","1,237",3.81,4
2565,6674,ジーエス・ユアサ　コーポレーション,東証１,電気機器,2020年5月09日,"1,485","1,530","1,530","1,468",7.03,576
2566,6675,サクサホールディングス,東証１,電気機器,2020年5月09日,"1,697","1,702","1,721","1,691",5.72,15
2567,6676,メルコホールディングス,東証１,電気機器,2020年5月09日,"2,611","2,587","2,626","2,519",0.36,86
